ID,Sub-task A
YoutubeCorpus37,NAG
C37.1,NAG
C37.2,NAG
C37.3,NAG
C37.4,NAG
C37.4.1,NAG
C37.4.2,NAG
C37.5,NAG
C37.5.1,NAG
C37.6,NAG
C37.6.1,CAG
C37.6.2,NAG
C37.6.3,NAG
C37.6.4,NAG
C37.7,NAG
C37.7.1,NAG
C37.7.2,NAG
C37.7.3,NAG
C37.7.4,NAG
C37.8,NAG
C37.8.1,NAG
C37.8.2,NAG
C37.9,OAG
C37.9.1,NAG
C37.10,NAG
C37.10.1,NAG
C37.10.2,NAG
C37.11,NAG
C37.12,NAG
C37.12.1,NAG
C37.12.2,NAG
C37.12.3,NAG
C37.13,NAG
C37.13.1,NAG
C37.14,NAG
C37.14.1,NAG
C37.14.2,NAG
C37.15,NAG
C37.15.1,NAG
C37.15.2,NAG
C37.16,OAG
Youtube Corpus 52,NAG
C52.1,NAG
C52.2,NAG
C52.3,NAG
C52.4,NAG
C52.5,NAG
C52.7.1,NAG
C52.8,NAG
C52.8.1,NAG
C52.8.2,NAG
C52.9,NAG
C52.11,NAG
C52.12,NAG
C52.13,NAG
C52.16,NAG
C52.16.1,NAG
C52.20,NAG
C52.21,NAG
C52.22,NAG
C52.23,NAG
C52.24,NAG
C52.25,NAG
C52.25.1,NAG
C52.26.1,NAG
C52.30,NAG
C52.35.1,NAG
C52.37,NAG
C52.38,NAG
C52.40,NAG
C52.40.1,NAG
C52.40.2,NAG
C52.40.3,NAG
C52.42,NAG
C52.42.1,NAG
C52.43.1,NAG
C52.45,NAG
C52.46,NAG
C52.49.1,NAG
C52.49.2,NAG
C52.50.1,NAG
C52.51,NAG
C52.54,NAG
C52.54.1,NAG
C52.57,NAG
C52.58,NAG
C52.59,NAG
C52.60,NAG
C52.63,NAG
C52.65.1,NAG
C52.68.1,NAG
C52.69,NAG
C52.70,NAG
C52.70.1,NAG
C52.70.2,NAG
C52.70.3,NAG
C52.74.1,NAG
C52.75.1,NAG
C52.76,NAG
C52.77,NAG
C52.78,NAG
C52.86.1,NAG
C52.86.2,NAG
C52.87,NAG
