ID,Sub-task A
C52.4.1,NAG
C52.4.2,NAG
C52.6,CAG
C52.7,OAG
C52.10,CAG
C52.10.1,NAG
C52.14,NAG
C52.18,CAG
C52.19,CAG
C52.26,NAG
C52.27,NAG
C52.28,NAG
C52.29,NAG
C52.31,NAG
C52.32,NAG
C52.34,NAG
C52.35,NAG
C52.36,NAG
C52.36.1,NAG
C52.41,OAG
C52.41.1,NAG
C52.43,CAG
C52.44,NAG
C52.47,OAG
C52.48,NAG
C52.49,CAG
C52.50,CAG
C52.52,NAG
C52.53,CAG
C52.55,NAG
C52.56,OAG
C52.61,CAG
C52.62,NAG
C52.64,NAG
C52.65,NAG
C52.66,NAG
C52.67,CAG
C52.68,OAG
C52.71,NAG
C52.72,NAG
C52.74,CAG
C52.75,NAG
C52.75.2,NAG
C52.75.3,NAG
C52.79,NAG
C52.79.1,NAG
C52.79.2,NAG
C52.80,NAG
C52.81,NAG
C52.82,NAG
C52.83,OAG
C52.84,OAG
C52.85,NAG
C52.86,NAG
C52.89,NAG
C52.90,OAG
C52.90.2,NAG
C52.90.3,NAG
C52.90.4,CAG
C52.90.5,NAG
C52.91,NAG
C52.91.1,NAG
C52.91.3,NAG
C52.92,NAG
C52.93,NAG
C52.94,CAG
C52.95,OAG
C52.99,OAG
C52.99.1,NAG
C52.100,NAG
C52.101,OAG
C52.101.1,NAG
C52.102,OAG
C52.103.1,NAG
C52.104,CAG
C52.104.1,NAG
C52.108,NAG
C52.109,OAG
C52.109.1,NAG
C52.110,NAG
C52.114,OAG
C52.114.1,OAG
C52.114.2,NAG
C52.114.3,NAG
C52.114.5,NAG
C52.115,NAG
C52.118,NAG
C52.118.1,OAG
C52.119,CAG
C52.120,CAG
C52.120.1,NAG
C52.122,NAG
C52.124.1,NAG
C52.125,NAG
C52.126,NAG
C52.127,NAG
C52.127.1,NAG
C52.131,NAG
C52.131.1,NAG
C52.131.2,NAG
C52.133,CAG
C52.133.1,NAG
C52.133.2,NAG
C52.133.3,NAG
C52.135,NAG
C52.136,OAG
C52.136.2,CAG
C52.136.3,NAG
C52.137,NAG
C52.137.2,NAG
C52.138,OAG
C52.139,NAG
C52.139.1,NAG
C52.139.3,OAG
C52.139.4,NAG
C52.140,NAG
C52.141.2,NAG
C52.141.5,NAG
C52.142,NAG
C52.143.1,NAG
C52.144,NAG
C52.144.1,NAG
C53.1,CAG
C53.3,OAG
C53.4,OAG
C53.4.2,NAG
C53.4.3,NAG
C53.4.4,CAG
C53.6,NAG
C53.6.1,NAG
C53.7,OAG
C53.8,NAG
C53.9,OAG
C53.10,CAG
C53.10.1,NAG
C53.11,CAG
C53.11.2,NAG
C53.11.3,NAG
C53.11.5,NAG
C53.12,CAG
C53.13,NAG
C53.13.2,NAG
C60.1,NAG
C60.1.2,NAG
C60.1.4,NAG
C60.2,NAG
C60.4,NAG
C60.6,NAG
C60.7,NAG
C60.10,CAG
C60.11,NAG
C60.12,OAG
C60.14,OAG
C60.15,NAG
C60.16,NAG
C60.17,OAG
C60.18,NAG
C60.19,NAG
C60.20,NAG
C60.22,NAG
C60.23,CAG
C60.24,NAG
C60.25,CAG
C60.26,NAG
C60.28,NAG
C60.30,NAG
C60.31,CAG
C60.32,NAG
C60.37,NAG
C60.38,NAG
C60.40,CAG
C60.42,NAG
C60.44,NAG
C60.45,NAG
C60.46,CAG
C60.47,CAG
C60.50,NAG
C60.51,OAG
C60.52,OAG
C60.53,NAG
C60.54,NAG
C60.55,NAG
C60.56,NAG
C60.57,NAG
C60.59,NAG
C60.60,NAG
C60.61,CAG
C60.62,NAG
C60.63,NAG
C60.64,NAG
C60.65,NAG
C60.66,OAG
C60.67,NAG
C60.71,NAG
C60.73,NAG
C60.74,NAG
C60.75,NAG
C60.76,NAG
C60.77,NAG
C60.78,NAG
