ID,Sub-task B
C52.4.1,NGEN
C52.4.2,NGEN
C52.6,GEN
C52.7,NGEN
C52.10,NGEN
C52.10.1,NGEN
C52.14,NGEN
C52.18,NGEN
C52.19,NGEN
C52.26,NGEN
C52.27,NGEN
C52.28,NGEN
C52.29,NGEN
C52.31,NGEN
C52.32,NGEN
C52.34,NGEN
C52.35,NGEN
C52.36,NGEN
C52.36.1,NGEN
C52.41,GEN
C52.41.1,NGEN
C52.43,NGEN
C52.44,NGEN
C52.47,NGEN
C52.48,NGEN
C52.49,NGEN
C52.50,NGEN
C52.52,NGEN
C52.53,NGEN
C52.55,NGEN
C52.56,GEN
C52.61,NGEN
C52.62,NGEN
C52.64,NGEN
C52.65,NGEN
C52.66,NGEN
C52.67,NGEN
C52.68,GEN
C52.71,NGEN
C52.72,NGEN
C52.74,NGEN
C52.75,NGEN
C52.75.2,NGEN
C52.75.3,NGEN
C52.79,NGEN
C52.79.1,NGEN
C52.79.2,NGEN
C52.80,NGEN
C52.81,NGEN
C52.82,NGEN
C52.83,NGEN
C52.84,GEN
C52.85,NGEN
C52.86,NGEN
C52.89,NGEN
C52.90,GEN
C52.90.2,NGEN
C52.90.3,NGEN
C52.90.4,NGEN
C52.90.5,NGEN
C52.91,NGEN
C52.91.1,NGEN
C52.91.3,NGEN
C52.92,NGEN
C52.93,NGEN
C52.94,NGEN
C52.95,NGEN
C52.99,NGEN
C52.99.1,NGEN
C52.100,NGEN
C52.101,GEN
C52.101.1,GEN
C52.102,NGEN
C52.103.1,NGEN
C52.104,GEN
C52.104.1,NGEN
C52.108,NGEN
C52.109,NGEN
C52.109.1,NGEN
C52.110,NGEN
C52.114,NGEN
C52.114.1,NGEN
C52.114.2,NGEN
C52.114.3,NGEN
C52.114.5,NGEN
C52.115,NGEN
C52.118,NGEN
C52.118.1,GEN
C52.119,NGEN
C52.120,NGEN
C52.120.1,NGEN
C52.122,NGEN
C52.124.1,NGEN
C52.125,NGEN
C52.126,NGEN
C52.127,NGEN
C52.127.1,NGEN
C52.131,NGEN
C52.131.1,NGEN
C52.131.2,NGEN
C52.133,NGEN
C52.133.1,NGEN
C52.133.2,NGEN
C52.133.3,NGEN
C52.135,NGEN
C52.136,GEN
C52.136.2,NGEN
C52.136.3,NGEN
C52.137,NGEN
C52.137.2,NGEN
C52.138,GEN
C52.139,NGEN
C52.139.1,NGEN
C52.139.3,NGEN
C52.139.4,NGEN
C52.140,NGEN
C52.141.2,NGEN
C52.141.5,NGEN
C52.142,NGEN
C52.143.1,NGEN
C52.144,NGEN
C52.144.1,NGEN
C53.1,NGEN
C53.3,GEN
C53.4,NGEN
C53.4.2,NGEN
C53.4.3,NGEN
C53.4.4,NGEN
C53.6,GEN
C53.6.1,NGEN
